reference,comparison,metric,n_pairs,mean_difference,ci_low,ci_high
multimodal_fixed,affect_only,macro_f1,5,-0.001959740271149468,-0.018908790875539115,0.010355710791725392
multimodal_fixed,audio_only,macro_f1,5,-0.17843691291431665,-0.19108555408945233,-0.16708214740881028
multimodal_fixed,cspa_affect,macro_f1,5,0.0028096601541016007,-0.005474603418219259,0.012288137607447958
multimodal_fixed,cspa_only,macro_f1,5,-0.01068698962839092,-0.017068501249156754,-0.003807042410183659
multimodal_fixed,lyrics_only,macro_f1,5,-0.08223811443885556,-0.09121820392661666,-0.0715513864792143
multimodal_fixed,multimodal_cagrad,macro_f1,5,-0.005496176450864687,-0.020898864074080502,0.010545926822661837
multimodal_fixed,multimodal_noalign,macro_f1,5,-0.0027265639642931826,-0.01237051241199385,0.0069173844834074846
multimodal_fixed,multimodal_pcgrad,macro_f1,5,0.0017271142477751633,-0.009626813039183935,0.015272448301662451
