seed,delta_macro_f1_sgd_minus_adamw,delta_alignment_gap_sgd_minus_adamw
42,-0.23095807132217316,-0.24723300710320473
123,-0.23369579772338778,-0.18058417737483978
777,-0.22160908648341604,-0.1798916459083557
