variant,hidden_dim,modality_layers,fusion_layers,heads,ffn_dim,n,macro_f1_mean,macro_f1_sd,macro_f1_min,macro_f1_max,accuracy_mean,accuracy_sd,accuracy_min,accuracy_max,alignment_gap_mean,alignment_gap_sd,alignment_gap_min,alignment_gap_max
base,256,2,2,4,512,3,0.8016510742344855,0.005325715820016559,0.7955099837554884,0.8050018065403404,0.8102409638554217,0.005217020504725535,0.8042168674698795,0.8132530120481928,0.17505896091461182,0.02565385644923791,0.14814616739749908,0.19923433661460876
hidden_128,128,2,2,4,256,3,0.7990276400953644,0.01606215867822918,0.7843784587179097,0.8162033248924859,0.8092369477911646,0.01516031011098546,0.7951807228915663,0.8253012048192772,0.1730597068866094,0.018663509894725806,0.1539338082075119,0.1912236213684082
hidden_384,384,2,2,4,768,3,0.7926370227574616,0.008967456874303475,0.7859353421217828,0.8028238626573313,0.8012048192771085,0.0079691304550138,0.7951807228915663,0.8102409638554217,0.1534209499756495,0.03618950228651976,0.11891622841358185,0.1910877227783203
encoder_1,256,1,2,4,512,3,0.7908656428179043,0.011404612473824129,0.7785475358563314,0.8010574827225598,0.8002008032128515,0.012540156623289942,0.786144578313253,0.8102409638554217,0.18783563375473022,0.024994460731290725,0.16598433256149292,0.2150895893573761
encoder_3,256,3,2,4,512,3,0.8022069826993666,0.01714754093872595,0.7843303234295915,0.818518028947522,0.8122489959839357,0.013582077568743658,0.7981927710843374,0.8253012048192772,0.15923292438189188,0.042111426442316705,0.13098149001598358,0.20763348042964935
fusion_1,256,2,1,4,512,3,0.7967797902649986,0.010600425621223278,0.788240907711363,0.808644271824955,0.8062248995983937,0.011403430413253536,0.7981927710843374,0.8192771084337349,0.17463858922322592,0.01409224957190296,0.15864554047584534,0.18523478507995605
fusion_3,256,2,3,4,512,3,0.8021373718195489,0.005526873581678854,0.7963821707859973,0.8074033980490933,0.8092369477911646,0.006270078311644994,0.8042168674698795,0.8162650602409639,0.1393700192372004,0.0009062558086063675,0.1388227939605713,0.14041610062122345
heads_2,256,2,2,2,512,3,0.8059430553629644,0.004698040936877043,0.8010349877266697,0.8103982745055482,0.8152610441767068,0.004600979613409486,0.8102409638554217,0.8192771084337349,0.15353897213935852,0.014897457550549824,0.144059419631958,0.17071007192134857
heads_8,256,2,2,8,512,3,0.7927097165591097,0.01122963978465235,0.7799911735761527,0.8012561798542609,0.8022088353413656,0.01217304784435956,0.7891566265060241,0.8132530120481928,0.17488575975100198,0.03556116817963751,0.1401108205318451,0.21118418872356415
