lambda_align,n,macro_f1_mean,macro_f1_sd,macro_f1_ci_low,macro_f1_ci_high,accuracy_mean,accuracy_sd,accuracy_ci_low,accuracy_ci_high,weighted_f1_mean,weighted_f1_sd,weighted_f1_ci_low,weighted_f1_ci_high,alignment_gap_mean,alignment_gap_sd,alignment_gap_ci_low,alignment_gap_ci_high,retrieval_a2l_r1_mean,retrieval_a2l_r1_sd,retrieval_a2l_r1_ci_low,retrieval_a2l_r1_ci_high,retrieval_a2l_r5_mean,retrieval_a2l_r5_sd,retrieval_a2l_r5_ci_low,retrieval_a2l_r5_ci_high,retrieval_l2a_r1_mean,retrieval_l2a_r1_sd,retrieval_l2a_r1_ci_low,retrieval_l2a_r1_ci_high,retrieval_l2a_r5_mean,retrieval_l2a_r5_sd,retrieval_l2a_r5_ci_low,retrieval_l2a_r5_ci_high
0.0,1,0.7841596730737003,0.0,0.7841596730737003,0.7841596730737003,0.7951807228915663,0.0,0.7951807228915663,0.7951807228915663,0.7926754160549068,0.0,0.7926754160549068,0.7926754160549068,0.0712779611349105,0.0,0.0712779611349105,0.0712779611349105,0.0120481923222541,0.0,0.0120481923222541,0.0120481923222541,0.0331325307488441,0.0,0.0331325307488441,0.0331325307488441,0.0090361442416906,0.0,0.0090361442416906,0.0090361442416906,0.0361445769667625,0.0,0.0361445769667625,0.0361445769667625
0.01,1,0.7974509753621689,0.0,0.7974509753621689,0.7974509753621689,0.8132530120481928,0.0,0.8132530120481928,0.8132530120481928,0.806155875134235,0.0,0.806155875134235,0.806155875134235,0.1012036129832267,0.0,0.1012036129832267,0.1012036129832267,0.006024096161127,0.0,0.006024096161127,0.006024096161127,0.0542168691754341,0.0,0.0542168691754341,0.0542168691754341,0.006024096161127,0.0,0.006024096161127,0.006024096161127,0.0662650614976883,0.0,0.0662650614976883,0.0662650614976883
0.05,1,0.7841967355027128,0.0,0.7841967355027128,0.7841967355027128,0.7921686746987951,0.0,0.7921686746987951,0.7921686746987951,0.7920152927418534,0.0,0.7920152927418534,0.7920152927418534,0.1268879622220993,0.0,0.1268879622220993,0.1268879622220993,0.0120481923222541,0.0,0.0120481923222541,0.0120481923222541,0.0783132538199424,0.0,0.0783132538199424,0.0783132538199424,0.0120481923222541,0.0,0.0120481923222541,0.0120481923222541,0.0662650614976883,0.0,0.0662650614976883,0.0662650614976883
0.1,1,0.7980208713642449,0.0,0.7980208713642449,0.7980208713642449,0.8072289156626506,0.0,0.8072289156626506,0.8072289156626506,0.8061549960337883,0.0,0.8061549960337883,0.8061549960337883,0.2064074575901031,0.0,0.2064074575901031,0.2064074575901031,0.027108434587717,0.0,0.027108434587717,0.027108434587717,0.0843373462557792,0.0,0.0843373462557792,0.0843373462557792,0.0331325307488441,0.0,0.0331325307488441,0.0331325307488441,0.0963855385780334,0.0,0.0963855385780334,0.0963855385780334
0.2,1,0.8044414324076277,0.0,0.8044414324076277,0.8044414324076277,0.8132530120481928,0.0,0.8132530120481928,0.8132530120481928,0.8110387332667971,0.0,0.8110387332667971,0.8110387332667971,0.1992343366146087,0.0,0.1992343366146087,0.1992343366146087,0.027108434587717,0.0,0.027108434587717,0.027108434587717,0.0903614461421966,0.0,0.0903614461421966,0.0903614461421966,0.0180722884833812,0.0,0.0180722884833812,0.0180722884833812,0.1114457845687866,0.0,0.1114457845687866,0.1114457845687866
0.5,1,0.7926333753971995,0.0,0.7926333753971995,0.7926333753971995,0.8042168674698795,0.0,0.8042168674698795,0.8042168674698795,0.8004223422203555,0.0,0.8004223422203555,0.8004223422203555,0.1657214164733886,0.0,0.1657214164733886,0.1657214164733886,0.027108434587717,0.0,0.027108434587717,0.027108434587717,0.0993975922465324,0.0,0.0993975922465324,0.0993975922465324,0.0150602413341403,0.0,0.0150602413341403,0.0150602413341403,0.0813253000378608,0.0,0.0813253000378608,0.0813253000378608
1.0,1,0.7890385600063019,0.0,0.7890385600063019,0.7890385600063019,0.8012048192771084,0.0,0.8012048192771084,0.8012048192771084,0.7955765161556068,0.0,0.7955765161556068,0.7955765161556068,0.194696843624115,0.0,0.194696843624115,0.194696843624115,0.0210843365639448,0.0,0.0210843365639448,0.0210843365639448,0.1024096384644508,0.0,0.1024096384644508,0.1024096384644508,0.0240963846445083,0.0,0.0240963846445083,0.0240963846445083,0.1084337383508682,0.0,0.1084337383508682,0.1084337383508682
