effect,n_paired_seeds,delta_mean,delta_sd,delta_min,delta_max
affect_without_cspa,5,-0.001959740271149468,0.019218195412146918,-0.03425673700655796,0.013950499077240996
cspa_without_affect,5,-0.01068698962839092,0.008465368682184074,-0.018794959190269522,0.0014006028904015588
affect_given_cspa,5,0.01349664978249252,0.016158292512999606,-0.010837307443455457,0.03297143494302179
cspa_given_affect,5,0.004769400425251069,0.01412250211743624,-0.011570454144802622,0.02482003245350406
interaction,5,0.015456390053641989,0.007020510169146601,0.0072245050454669,0.0234194295631025
