variant,n_paired_seeds,delta_macro_f1_mean,delta_macro_f1_sd,delta_macro_f1_min,delta_macro_f1_max
hidden_128,3,-0.0026234341391211022,0.021165277213879095,-0.020623347822430693,0.0206933411369975
hidden_384,3,-0.009014051477023907,0.008481896556870138,-0.018506090285844823,-0.0021779438830090703
encoder_1,3,-0.010785431416581318,0.00653442051045962,-0.016962447899157018,-0.003944323817780537
encoder_3,3,0.0005559084648811089,0.012393411818628687,-0.0111796603258969,0.013516222407181644
fusion_1,3,-0.0048712839694870684,0.010216717037280222,-0.01620052469626465,0.003642465284614649
fusion_3,3,0.0004862975850634295,0.00815497921610527,-0.008619635754343102,0.007116562868067722
heads_2,3,0.004291981128478876,0.0020253626841344992,0.001954471449047479,0.005525003971181275
heads_8,3,-0.008941357675375813,0.01511497374228599,-0.024450258831475002,0.005746196098772471
