accuracy,alignment_gap,alignment_negative_cosine,alignment_positive_cosine,best_val_macro_f1,experiment,macro_f1,q1_f1,q1_precision,q1_recall,q1_support,q2_f1,q2_precision,q2_recall,q2_support,q3_f1,q3_precision,q3_recall,q3_support,q4_f1,q4_precision,q4_recall,q4_support,retrieval_a2l_median_rank,retrieval_a2l_r1,retrieval_a2l_r10,retrieval_a2l_r5,retrieval_l2a_median_rank,retrieval_l2a_r1,retrieval_l2a_r10,retrieval_l2a_r5,run_id,seed,split,stage,test_evaluated,wall_seconds,weighted_f1,lambda_align,temperature,lambda_uni,gradient_strategy,affect_aware,cspa
0.8102409638554217,0.16172321140766144,0.01602594368159771,0.1777491569519043,0.8023344602291971,affect_only,0.8023344602291971,0.8187134502923976,0.7692307692307693,0.875,80,0.898989898989899,0.89,0.9081632653061225,98,0.7619047619047619,0.8,0.7272727272727273,77,0.7297297297297297,0.7605633802816901,0.7012987012987013,77,49.0,0.01807228848338127,0.14156626164913177,0.0632530152797699,55.0,0.0150602413341403,0.1325301229953766,0.0602409653365612,ablation_affect_only_seed42,42,validation,ablation,False,50.24953556060791,0.8085962107839089,0.2,0.07,0.4575708941376109,scalarization,True,False
0.7951807228915663,0.2503741681575775,-0.002388930879533291,0.24798524379730225,0.78356119108842,cspa_affect,0.78356119108842,0.7866666666666666,0.8428571428571429,0.7375,80,0.909952606635071,0.8495575221238938,0.9795918367346939,98,0.7034482758620689,0.75,0.6623376623376623,77,0.7341772151898734,0.7160493827160493,0.7532467532467533,77,41.0,0.024096384644508362,0.1867469847202301,0.09638553857803345,45.0,0.027108434587717056,0.17469879984855652,0.09337349236011505,ablation_cspa_affect_seed42,42,validation,ablation,False,129.27279543876648,0.7915838903450899,0.2,0.07,0.4575708941376109,scalarization,True,True
0.8012048192771084,0.20354261994361877,0.017715925350785255,0.22125855088233948,0.7894172765330939,cspa_only,0.7894172765330939,0.8421052631578947,0.7912087912087912,0.9,80,0.9045226130653267,0.8910891089108911,0.9183673469387755,98,0.6814814814814815,0.7931034482758621,0.5974025974025974,77,0.7295597484276729,0.7073170731707317,0.7532467532467533,77,39.0,0.01807228848338127,0.1807228922843933,0.07831325381994247,38.0,0.0301204826682806,0.15662650763988495,0.09036144614219666,ablation_cspa_only_seed42,42,validation,ablation,False,90.45875835418701,0.7971741320362605,0.2,0.07,0.4575708941376109,scalarization,False,True
0.8132530120481928,0.19923433661460876,0.01598151959478855,0.21521586179733276,0.8044414324076277,multimodal_fixed,0.8044414324076277,0.8387096774193549,0.8666666666666667,0.8125,80,0.9038461538461539,0.8545454545454545,0.9591836734693877,98,0.7397260273972602,0.782608695652174,0.7012987012987013,77,0.7354838709677419,0.7307692307692307,0.7402597402597403,77,39.0,0.027108434587717056,0.1897590309381485,0.09036144614219666,45.0,0.01807228848338127,0.1807228922843933,0.11144578456878662,ablation_multimodal_fixed_seed42,42,validation,ablation,False,70.65485954284668,0.8110387332667971,0.2,0.07,0.4575708941376109,scalarization,False,False
0.7018072289156626,,,,0.6875284932986031,audio_only,0.6875284932986031,0.7361963190184049,0.7228915662650602,0.75,80,0.8431372549019608,0.8113207547169812,0.8775510204081632,98,0.5655172413793104,0.6029411764705882,0.5324675324675324,77,0.6052631578947368,0.6133333333333333,0.5974025974025974,77,,,,,,,,,baseline_audio_only_seed42,42,validation,baseline,False,33.79690098762512,0.697810985680621,0.1,0.07,0.4575708941376109,scalarization,False,False
0.7349397590361446,,,,0.7183525357695973,lyrics_only,0.7183525357695973,0.6909090909090909,0.6705882352941176,0.7125,80,0.8909952606635071,0.831858407079646,0.9591836734693877,98,0.6428571428571429,0.7142857142857143,0.5844155844155844,77,0.6486486486486487,0.676056338028169,0.6233766233766234,77,,,,,,,,,baseline_lyrics_only_seed42,42,validation,baseline,False,33.05870699882507,0.7290247251918582,0.1,0.07,0.4575708941376109,scalarization,False,False
0.8072289156626506,0.20640745759010315,0.004312567878514528,0.210720032453537,0.7980208713642449,multimodal_fixed,0.7980208713642449,0.85,0.85,0.85,80,0.9191919191919192,0.91,0.9285714285714286,98,0.7,0.7777777777777778,0.6363636363636364,77,0.7228915662650602,0.6741573033707865,0.7792207792207793,77,40.0,0.027108434587717056,0.17168675363063812,0.08433734625577927,46.0,0.03313253074884415,0.16566264629364014,0.09638553857803345,baseline_multimodal_fixed_seed42,42,validation,baseline,False,82.9222342967987,0.8061549960337883,0.1,0.07,0.4575708941376109,scalarization,False,False
0.7951807228915663,0.07127796113491058,-0.039971426129341125,0.03130653500556946,0.7841596730737003,multimodal_noalign,0.7841596730737003,0.8333333333333334,0.8552631578947368,0.8125,80,0.9117647058823529,0.8773584905660378,0.9489795918367347,98,0.6814814814814815,0.7931034482758621,0.5974025974025974,77,0.7100591715976331,0.6521739130434783,0.7792207792207793,77,82.0,0.012048192322254181,0.07228915393352509,0.03313253074884415,87.0,0.009036144241690636,0.06927710771560669,0.03614457696676254,baseline_multimodal_noalign_seed42,42,validation,baseline,False,52.22745752334595,0.7926754160549068,0.1,0.07,0.4575708941376109,scalarization,False,False
0.8283132530120482,0.16297830641269684,0.027510523796081543,0.19048883020877838,0.8201319878951457,affect_only,0.8201319878951457,0.8421052631578947,0.7912087912087912,0.9,80,0.9191919191919192,0.91,0.9285714285714286,98,0.75,0.76,0.7402597402597403,77,0.7692307692307693,0.8333333333333334,0.7142857142857143,77,49.0,0.009036144241690636,0.17168675363063812,0.09036144614219666,45.0,0.012048192322254181,0.1295180767774582,0.0662650614976883,final_affect_only_seed123,123,validation,final_seed,False,57.63288331031799,0.826596380615087,0.2,0.07,0.4575708941376109,scalarization,True,False
0.7951807228915663,0.18872152268886566,0.02436327561736107,0.21308480203151703,0.7871352753852929,affect_only,0.7871352753852929,0.8258064516129032,0.8533333333333334,0.8,80,0.9137055837563451,0.9090909090909091,0.9183673469387755,98,0.6938775510204082,0.7285714285714285,0.6623376623376623,77,0.7151515151515152,0.6704545454545454,0.7662337662337663,77,45.0,0.0150602413341403,0.15963855385780334,0.07228915393352509,44.0,0.024096384644508362,0.15361446142196655,0.09638553857803345,final_affect_only_seed2026,2026,validation,final_seed,False,60.02128863334656,0.7954906669650367,0.2,0.07,0.4575708941376109,scalarization,True,False
